Abbreviation,TeamName,GridPosition,Position,Points,Year,Race
NOR,McLaren,5.0,3.0,15.0,2021,Monaco Grand Prix
PER,Red Bull Racing,9.0,4.0,12.0,2021,Monaco Grand Prix
VET,Aston Martin,8.0,5.0,10.0,2021,Monaco Grand Prix
GAS,AlphaTauri,6.0,6.0,8.0,2021,Monaco Grand Prix
HAM,Mercedes,7.0,7.0,7.0,2021,Monaco Grand Prix
STR,Aston Martin,13.0,8.0,4.0,2021,Monaco Grand Prix
OCO,Alpine,11.0,9.0,2.0,2021,Monaco Grand Prix
GIO,Alfa Romeo Racing,10.0,10.0,1.0,2021,Monaco Grand Prix
RAI,Alfa Romeo Racing,14.0,11.0,0.0,2021,Monaco Grand Prix
RIC,McLaren,12.0,12.0,0.0,2021,Monaco Grand Prix
ALO,Alpine,17.0,13.0,0.0,2021,Monaco Grand Prix
RUS,Williams,15.0,14.0,0.0,2021,Monaco Grand Prix
LAT,Williams,18.0,15.0,0.0,2021,Monaco Grand Prix
TSU,AlphaTauri,16.0,16.0,0.0,2021,Monaco Grand Prix
MAZ,Haas F1 Team,19.0,17.0,0.0,2021,Monaco Grand Prix
MSC,Haas F1 Team,20.0,18.0,0.0,2021,Monaco Grand Prix
BOT,Mercedes,3.0,19.0,0.0,2021,Monaco Grand Prix
LEC,Ferrari,1.0,20.0,0.0,2021,Monaco Grand Prix
PER,Red Bull Racing,6.0,1.0,25.0,2021,Azerbaijan Grand Prix
VET,Aston Martin,11.0,2.0,18.0,2021,Azerbaijan Grand Prix
GAS,AlphaTauri,4.0,3.0,15.0,2021,Azerbaijan Grand Prix
LEC,Ferrari,1.0,4.0,12.0,2021,Azerbaijan Grand Prix
NOR,McLaren,9.0,5.0,10.0,2021,Azerbaijan Grand Prix
ALO,Alpine,8.0,6.0,8.0,2021,Azerbaijan Grand Prix
TSU,AlphaTauri,7.0,7.0,6.0,2021,Azerbaijan Grand Prix
SAI,Ferrari,5.0,8.0,4.0,2021,Azerbaijan Grand Prix
RIC,McLaren,13.0,9.0,2.0,2021,Azerbaijan Grand Prix
RAI,Alfa Romeo Racing,14.0,10.0,1.0,2021,Azerbaijan Grand Prix
GIO,Alfa Romeo Racing,20.0,11.0,0.0,2021,Azerbaijan Grand Prix
BOT,Mercedes,10.0,12.0,0.0,2021,Azerbaijan Grand Prix
MSC,Haas F1 Team,17.0,13.0,0.0,2021,Azerbaijan Grand Prix
MAZ,Haas F1 Team,18.0,14.0,0.0,2021,Azerbaijan Grand Prix
HAM,Mercedes,2.0,15.0,0.0,2021,Azerbaijan Grand Prix
LAT,Williams,16.0,16.0,0.0,2021,Azerbaijan Grand Prix
RUS,Williams,15.0,17.0,0.0,2021,Azerbaijan Grand Prix
VER,Red Bull Racing,3.0,18.0,0.0,2021,Azerbaijan Grand Prix
STR,Aston Martin,19.0,19.0,0.0,2021,Azerbaijan Grand Prix
OCO,Alpine,12.0,20.0,0.0,2021,Azerbaijan Grand Prix
VER,Red Bull Racing,1.0,1.0,26.0,2021,French Grand Prix
HAM,Mercedes,2.0,2.0,18.0,2021,French Grand Prix
PER,Red Bull Racing,4.0,3.0,15.0,2021,French Grand Prix
BOT,Mercedes,3.0,4.0,12.0,2021,French Grand Prix
NOR,McLaren,8.0,5.0,10.0,2021,French Grand Prix
RIC,McLaren,10.0,6.0,8.0,2021,French Grand Prix
GAS,AlphaTauri,6.0,7.0,6.0,2021,French Grand Prix
ALO,Alpine,9.0,8.0,4.0,2021,French Grand Prix
VET,Aston Martin,12.0,9.0,2.0,2021,French Grand Prix
STR,Aston Martin,19.0,10.0,1.0,2021,French Grand Prix
SAI,Ferrari,5.0,11.0,0.0,2021,French Grand Prix
RUS,Williams,14.0,12.0,0.0,2021,French Grand Prix
TSU,AlphaTauri,0.0,13.0,0.0,2021,French Grand Prix
OCO,Alpine,11.0,14.0,0.0,2021,French Grand Prix
GIO,Alfa Romeo Racing,13.0,15.0,0.0,2021,French Grand Prix
LEC,Ferrari,7.0,16.0,0.0,2021,French Grand Prix
RAI,Alfa Romeo Racing,17.0,17.0,0.0,2021,French Grand Prix
LAT,Williams,16.0,18.0,0.0,2021,French Grand Prix
MSC,Haas F1 Team,15.0,19.0,0.0,2021,French Grand Prix
MAZ,Haas F1 Team,18.0,20.0,0.0,2021,French Grand Prix
VER,Red Bull Racing,1.0,1.0,25.0,2021,Styrian Grand Prix
HAM,Mercedes,2.0,2.0,19.0,2021,Styrian Grand Prix
BOT,Mercedes,5.0,3.0,15.0,2021,Styrian Grand Prix
PER,Red Bull Racing,4.0,4.0,12.0,2021,Styrian Grand Prix
NOR,McLaren,3.0,5.0,10.0,2021,Styrian Grand Prix
SAI,Ferrari,12.0,6.0,8.0,2021,Styrian Grand Prix
LEC,Ferrari,7.0,7.0,6.0,2021,Styrian Grand Prix
STR,Aston Martin,9.0,8.0,4.0,2021,Styrian Grand Prix
ALO,Alpine,8.0,9.0,2.0,2021,Styrian Grand Prix
TSU,AlphaTauri,11.0,10.0,1.0,2021,Styrian Grand Prix
RAI,Alfa Romeo Racing,18.0,11.0,0.0,2021,Styrian Grand Prix
VET,Aston Martin,14.0,12.0,0.0,2021,Styrian Grand Prix
RIC,McLaren,13.0,13.0,0.0,2021,Styrian Grand Prix
OCO,Alpine,17.0,14.0,0.0,2021,Styrian Grand Prix
GIO,Alfa Romeo Racing,15.0,15.0,0.0,2021,Styrian Grand Prix
MSC,Haas F1 Team,19.0,16.0,0.0,2021,Styrian Grand Prix
LAT,Williams,16.0,17.0,0.0,2021,Styrian Grand Prix
MAZ,Haas F1 Team,20.0,18.0,0.0,2021,Styrian Grand Prix
RUS,Williams,10.0,19.0,0.0,2021,Styrian Grand Prix
GAS,AlphaTauri,6.0,20.0,0.0,2021,Styrian Grand Prix
VER,Red Bull Racing,1.0,1.0,26.0,2021,Austrian Grand Prix
BOT,Mercedes,5.0,2.0,18.0,2021,Austrian Grand Prix
NOR,McLaren,2.0,3.0,15.0,2021,Austrian Grand Prix
HAM,Mercedes,4.0,4.0,12.0,2021,Austrian Grand Prix
SAI,Ferrari,10.0,5.0,10.0,2021,Austrian Grand Prix
PER,Red Bull Racing,3.0,6.0,8.0,2021,Austrian Grand Prix
RIC,McLaren,13.0,7.0,6.0,2021,Austrian Grand Prix
LEC,Ferrari,12.0,8.0,4.0,2021,Austrian Grand Prix
GAS,AlphaTauri,6.0,9.0,2.0,2021,Austrian Grand Prix
ALO,Alpine,14.0,10.0,1.0,2021,Austrian Grand Prix
RUS,Williams,8.0,11.0,0.0,2021,Austrian Grand Prix
TSU,AlphaTauri,7.0,12.0,0.0,2021,Austrian Grand Prix
STR,Aston Martin,9.0,13.0,0.0,2021,Austrian Grand Prix
GIO,Alfa Romeo Racing,15.0,14.0,0.0,2021,Austrian Grand Prix
RAI,Alfa Romeo Racing,16.0,15.0,0.0,2021,Austrian Grand Prix
LAT,Williams,18.0,16.0,0.0,2021,Austrian Grand Prix
VET,Aston Martin,11.0,17.0,0.0,2021,Austrian Grand Prix
MSC,Haas F1 Team,19.0,18.0,0.0,2021,Austrian Grand Prix
MAZ,Haas F1 Team,20.0,19.0,0.0,2021,Austrian Grand Prix
OCO,Alpine,17.0,20.0,0.0,2021,Austrian Grand Prix
HAM,Mercedes,2.0,1.0,25.0,2021,British Grand Prix
LEC,Ferrari,4.0,2.0,18.0,2021,British Grand Prix
BOT,Mercedes,3.0,3.0,15.0,2021,British Grand Prix
NOR,McLaren,5.0,4.0,12.0,2021,British Grand Prix
RIC,McLaren,6.0,5.0,10.0,2021,British Grand Prix
SAI,Ferrari,10.0,6.0,8.0,2021,British Grand Prix
ALO,Alpine,7.0,7.0,6.0,2021,British Grand Prix
STR,Aston Martin,14.0,8.0,4.0,2021,British Grand Prix
OCO,Alpine,9.0,9.0,2.0,2021,British Grand Prix
TSU,AlphaTauri,16.0,10.0,1.0,2021,British Grand Prix
GAS,AlphaTauri,11.0,11.0,0.0,2021,British Grand Prix
RUS,Williams,12.0,12.0,0.0,2021,British Grand Prix
GIO,Alfa Romeo Racing,15.0,13.0,0.0,2021,British Grand Prix
LAT,Williams,17.0,14.0,0.0,2021,British Grand Prix
RAI,Alfa Romeo Racing,13.0,15.0,0.0,2021,British Grand Prix
PER,Red Bull Racing,0.0,16.0,0.0,2021,British Grand Prix
MAZ,Haas F1 Team,19.0,17.0,0.0,2021,British Grand Prix
MSC,Haas F1 Team,18.0,18.0,0.0,2021,British Grand Prix
VET,Aston Martin,8.0,19.0,0.0,2021,British Grand Prix
VER,Red Bull Racing,1.0,20.0,0.0,2021,British Grand Prix
OCO,Alpine,8.0,1.0,25.0,2021,Hungarian Grand Prix
HAM,Mercedes,1.0,2.0,18.0,2021,Hungarian Grand Prix
SAI,Ferrari,15.0,3.0,15.0,2021,Hungarian Grand Prix
ALO,Alpine,9.0,4.0,12.0,2021,Hungarian Grand Prix
GAS,AlphaTauri,5.0,5.0,11.0,2021,Hungarian Grand Prix
TSU,AlphaTauri,16.0,6.0,8.0,2021,Hungarian Grand Prix
LAT,Williams,18.0,7.0,6.0,2021,Hungarian Grand Prix
RUS,Williams,17.0,8.0,4.0,2021,Hungarian Grand Prix
VER,Red Bull Racing,3.0,9.0,2.0,2021,Hungarian Grand Prix
RAI,Alfa Romeo Racing,13.0,10.0,1.0,2021,Hungarian Grand Prix
RIC,McLaren,11.0,11.0,0.0,2021,Hungarian Grand Prix
